subject,item,accuracy,latency,valence,length,frequency
1,alive,1,498,7.25,5,42.54
1,bandage,1,716,4.54,7,2.53
1,bright,1,559,7.5,6,55.4
1,carcass,1,564,3.34,7,1.4
1,cheer,1,538,8.1,5,7.81
1,coast,1,463,5.98,5,47.01
1,detail,1,486,5.55,6,62.23
1,devil,1,562,2.21,5,17.32
1,door,1,541,5.13,4,253.65
1,evil,1,507,3.23,4,28.83
1,face,1,524,6.39,4,349.78
1,fat,1,516,2.28,3,46.11
1,foul,1,554,2.81,4,10.43
1,glass,1,519,4.75,5,98.56
1,grenade,1,771,3.6,7,1.94
1,hatred,1,538,1.98,6,10.52
1,heal,1,509,7.09,4,5.24
1,kettle,1,557,5.22,6,9.25
1,kick,1,494,4.31,4,23.24
1,kind,1,569,7.59,4,237.97
1,lesbian,1,613,4.67,7,7.13
1,maggot,1,617,2.06,6,2.35
1,moral,1,569,6.2,5,53.95
1,mountain,1,474,6.59,8,39.61
1,news,1,482,5.3,4,145.58
1,pain,1,516,2.13,4,73.38
1,pig,1,532,5.07,3,13.51
1,quarrel,1,576,2.93,7,5.83
1,rattle,1,622,5.03,6,3.77
1,safe,1,462,7.07,4,69.73
1,scum,1,607,2.43,4,5.78
1,shadow,1,497,4.35,6,30.95
1,sin,1,585,2.8,3,13.61
1,slap,1,556,2.95,4,4.88
1,snuggle,1,511,7.92,7,0.33
1,stress,1,537,2.09,6,48.7
1,table,1,497,5.22,5,202
1,tank,1,547,5.16,4,33.24
1,toothache,1,537,1.98,9,0.98
1,toy,1,467,7,3,9.77
1,trust,1,537,6.68,5,101.98
1,useful,1,521,7.14,6,100.71
1,vehicle,1,507,6.27,7,42.23
1,village,1,517,5.92,7,113.4
1,watch,1,475,5.78,5,95.57
1,world,1,545,6.5,5,590.31
2,alert,1,428,6.2,5,16
2,beggar,1,593,3.22,6,2.42
2,brave,1,408,7.15,5,18.3
2,breeze,1,452,6.85,6,13.81
2,caress,1,518,7.84,6,2.13
2,charm,1,386,6.77,5,14.25
2,cow,1,413,5.57,3,13.96
2,crude,1,440,3.12,5,13.7
2,crutch,1,562,3.43,6,1.17
2,cyclone,1,507,3.6,7,0.95
2,earth,1,428,7.15,5,97.15
2,fun,1,441,8.37,3,51.21
2,game,1,432,6.98,4,150.08
2,hard,1,503,5.22,4,229.35
2,hat,1,452,5.46,3,31.37
2,hotel,1,455,6,5,114.47
2,hurt,1,400,1.9,4,45.81
2,idiot,1,391,3.16,5,6.49
2,improve,1,476,7.65,7,62.08
2,interest,1,411,6.97,8,276.11
2,iron,1,436,4.9,4,47.5
2,lost,1,452,2.82,4,194.2
2,louse,1,507,2.81,5,0.5
2,manure,1,463,3.1,6,3.01
2,market,1,533,5.66,6,300.78
2,medicine,1,524,5.67,8,27.87
2,nectar,1,506,6.9,6,1.47
2,needle,1,408,3.82,6,12.49
2,neglect,1,477,2.63,7,12.05
2,noisy,1,438,5.02,5,10.23
2,penis,1,487,5.9,5,5.34
2,pinch,1,412,3.83,5,5.59
2,pollute,1,483,1.85,7,1.14
2,pressure,1,495,3.38,8,119.75
2,radiant,1,437,6.73,7,2.45
2,reward,1,481,7.53,6,19.79
2,scandal,1,547,3.32,7,14.73
2,snake,1,446,3.31,5,7.54
2,snob,1,456,3.36,4,1.25
2,sour,1,439,3.93,4,6.66
2,space,1,423,6.78,5,126.54
2,spirit,1,455,7,6,64.9
2,stool,1,416,4.56,5,8.64
2,talent,1,414,7.56,6,20.95
2,theory,1,443,5.3,6,131.29
2,thief,1,405,2.13,5,7.57
2,toxic,1,476,2.1,5,12.2
2,travel,1,390,7.1,6,72.71
2,trophy,1,556,7.78,6,13.03
2,trunk,1,425,5.09,5,8.16
2,wasp,1,452,3.37,4,2.58
2,wife,1,483,6.33,4,171.06
2,windmill,1,470,5.6,8,1.94
2,writer,1,509,5.52,6,37.42
3,alive,1,426,7.25,5,42.54
3,bandage,1,445,4.54,7,2.53
3,bright,1,363,7.5,6,55.4
3,carcass,1,496,3.34,7,1.4
3,cheer,1,381,8.1,5,7.81
3,coast,0,330,5.98,5,47.01
3,detail,1,485,5.55,6,62.23
3,devil,1,441,2.21,5,17.32
3,door,1,409,5.13,4,253.65
3,evil,1,397,3.23,4,28.83
3,face,1,489,6.39,4,349.78
3,fat,1,495,2.28,3,46.11
3,foul,1,435,2.81,4,10.43
3,glass,1,446,4.75,5,98.56
3,grenade,1,605,3.6,7,1.94
3,hatred,1,580,1.98,6,10.52
3,heal,1,483,7.09,4,5.24
3,kettle,1,434,5.22,6,9.25
3,kick,1,427,4.31,4,23.24
3,kind,1,363,7.59,4,237.97
3,lesbian,1,555,4.67,7,7.13
3,maggot,1,465,2.06,6,2.35
3,moral,1,452,6.2,5,53.95
3,mountain,1,424,6.59,8,39.61
3,news,1,355,5.3,4,145.58
3,pain,1,437,2.13,4,73.38
3,pig,1,493,5.07,3,13.51
3,quarrel,1,438,2.93,7,5.83
3,rattle,1,425,5.03,6,3.77
3,safe,1,514,7.07,4,69.73
3,scum,1,632,2.43,4,5.78
3,shadow,1,484,4.35,6,30.95
3,sin,1,444,2.8,3,13.61
3,slap,1,392,2.95,4,4.88
3,snuggle,1,703,7.92,7,0.33
3,stress,1,450,2.09,6,48.7
3,table,1,407,5.22,5,202
3,tank,1,518,5.16,4,33.24
3,toothache,1,504,1.98,9,0.98
3,toy,1,431,7,3,9.77
3,trust,1,378,6.68,5,101.98
3,useful,1,422,7.14,6,100.71
3,vehicle,1,409,6.27,7,42.23
3,village,1,538,5.92,7,113.4
3,watch,1,486,5.78,5,95.57
3,world,1,454,6.5,5,590.31
4,alert,1,465,6.2,5,16
4,beggar,1,387,3.22,6,2.42
4,brave,1,411,7.15,5,18.3
4,breeze,1,394,6.85,6,13.81
4,caress,1,580,7.84,6,2.13
4,charm,1,420,6.77,5,14.25
4,cow,1,443,5.57,3,13.96
4,crude,1,479,3.12,5,13.7
4,crutch,1,443,3.43,6,1.17
4,cyclone,1,465,3.6,7,0.95
4,earth,1,368,7.15,5,97.15
4,fun,1,368,8.37,3,51.21
4,game,1,403,6.98,4,150.08
4,hard,1,429,5.22,4,229.35
4,hat,1,406,5.46,3,31.37
4,hotel,1,425,6,5,114.47
4,hurt,1,434,1.9,4,45.81
4,idiot,1,399,3.16,5,6.49
4,improve,1,427,7.65,7,62.08
4,interest,1,433,6.97,8,276.11
4,iron,1,487,4.9,4,47.5
4,lost,1,408,2.82,4,194.2
4,louse,1,404,2.81,5,0.5
4,manure,1,536,3.1,6,3.01
4,market,1,425,5.66,6,300.78
4,medicine,1,407,5.67,8,27.87
4,nectar,1,413,6.9,6,1.47
4,needle,1,408,3.82,6,12.49
4,neglect,1,488,2.63,7,12.05
4,noisy,1,470,5.02,5,10.23
4,penis,1,426,5.9,5,5.34
4,pinch,1,441,3.83,5,5.59
4,pollute,1,568,1.85,7,1.14
4,pressure,1,384,3.38,8,119.75
4,radiant,1,469,6.73,7,2.45
4,reward,1,494,7.53,6,19.79
4,scandal,1,443,3.32,7,14.73
4,snake,1,773,3.31,5,7.54
4,snob,1,464,3.36,4,1.25
4,sour,1,415,3.93,4,6.66
4,space,1,414,6.78,5,126.54
4,spirit,1,405,7,6,64.9
4,stool,1,429,4.56,5,8.64
4,talent,1,416,7.56,6,20.95
4,theory,1,610,5.3,6,131.29
4,thief,1,422,2.13,5,7.57
4,toxic,1,441,2.1,5,12.2
4,travel,1,408,7.1,6,72.71
4,trophy,1,429,7.78,6,13.03
4,trunk,1,432,5.09,5,8.16
4,wasp,1,482,3.37,4,2.58
4,wife,1,465,6.33,4,171.06
4,windmill,1,476,5.6,8,1.94
